Prompt,Response,,,,,,,,,,,,,,,,
Hi,Hey :-),,,,,,,,,,,,,,,,
Hey,Hey :-),,,,,,,,,,,,,,,,
How are you,Hey :-),,,,,,,,,,,,,,,,
Is anyone there?,Hey :-),,,,,,,,,,,,,,,,
Hello,Hey :-),,,,,,,,,,,,,,,,
Good day,Hey :-),,,,,,,,,,,,,,,,
Bye,"See you later, thanks for visiting",,,,,,,,,,,,,,,,
See you later,"See you later, thanks for visiting",,,,,,,,,,,,,,,,
Goodbye,"See you later, thanks for visiting",,,,,,,,,,,,,,,,
Thanks,Happy to help!,,,,,,,,,,,,,,,,
Thank you,Happy to help!,,,,,,,,,,,,,,,,
That's helpful,Happy to help!,,,,,,,,,,,,,,,,
Thank's a lot!,Happy to help!,,,,,,,,,,,,,,,,
Do you take credit cards?,"We accept VISA, Mastercard and Paypal",,,,,,,,,,,,,,,,
Do you accept Mastercard?,"We accept VISA, Mastercard and Paypal",,,,,,,,,,,,,,,,
Can I pay with Paypal?,"We accept VISA, Mastercard and Paypal",,,,,,,,,,,,,,,,
Are you cash only?,"We accept VISA, Mastercard and Paypal",,,,,,,,,,,,,,,,
What does the Department of Justice do?,"The Department of Justice enforces federal laws, prosecutes crimes, represents the India government in civil cases, oversees the federal prison system, and ensures the protection of civil rights for all citizens.",,,,,,,,,,,,,,,,
Tell me about the responsibilities of the Department of Justice,"The Department of Justice enforces federal laws, prosecutes crimes, represents the India government in civil cases, oversees the federal prison system, and ensures the protection of civil rights for all citizens.",,,,,,,,,,,,,,,,
What is the DOJ's role?,"The Department of Justice enforces federal laws, prosecutes crimes, represents the India government in civil cases, oversees the federal prison system, and ensures the protection of civil rights for all citizens.",,,,,,,,,,,,,,,,
How can I contact the DOJ?,"You can contact the Department of Justice via phone at (+91) 01123383674, or email at secy-jus@gov.in For more details, visit the official website at https://doj.gov.in/.",,,,,,,,,,,,,,,,
What is the contact information for the Department of Justice?,"You can contact the Department of Justice via phone at (+91) 01123383674, or email at secy-jus@gov.in For more details, visit the official website at https://doj.gov.in/.",,,,,,,,,,,,,,,,
Give me the phone and email for the DOJ,"You can contact the Department of Justice via phone at (+91) 01123383674, or email at secy-jus@gov.in For more details, visit the official website at https://doj.gov.in/.",,,,,,,,,,,,,,,,
